gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSG00000002919	ENST00000359238,ENST00000393405,ENST00000452859,ENST00000577310,ENST00000578861,ENST00000580219,ENST00000580875,ENST00000581298,ENST00000581705,ENST00000582104,ENST00000582481,ENST00000583320,ENST00000584335	2204.03	2023.74	1963.00	36.28	27.32
ENSG00000002933	ENST00000004103,ENST00000461345,ENST00000462826,ENST00000468689,ENST00000474166,ENST00000475007,ENST00000475536,ENST00000475710,ENST00000481305,ENST00000484928,ENST00000494349	1231.71	1051.43	58.00	2.06	1.55
ENSG00000003056	ENST00000000412,ENST00000536844,ENST00000537621,ENST00000539143,ENST00000540837,ENST00000541507,ENST00000543159,ENST00000543258,ENST00000543704,ENST00000543834,ENST00000543845,ENST00000544193,ENST00000544245	1610.46	1430.18	9308.77	243.44	183.33
ENSG00000003096	ENST00000262820,ENST00000371876,ENST00000371878,ENST00000371882,ENST00000447671,ENST00000453826,ENST00000469946,ENST00000539496,ENST00000540167,ENST00000541812,ENST00000545703	3305.33	3125.04	165.00	1.97	1.49
ENSG00000003137	ENST00000001146,ENST00000412253,ENST00000461519,ENST00000474509,ENST00000546307	2571.35	2391.07	1111.00	17.38	13.09
ENSG00000003147	ENST00000265577,ENST00000317367,ENST00000339809,ENST00000396675,ENST00000401396,ENST00000402384,ENST00000406470,ENST00000407906,ENST00000422063,ENST00000430867,ENST00000446305,ENST00000447326,ENST00000455539,ENST00000457755,ENST00000470696,ENST00000476942,ENST00000486677,ENST00000490041	2346.61	2166.32	31.00	0.54	0.40
ENSG00000003249	ENST00000002501,ENST00000304733,ENST00000392973,ENST00000568330,ENST00000568662,ENST00000568838,ENST00000623401	1959.05	1778.76	679.00	14.28	10.75
ENSG00000003393	ENST00000264276,ENST00000409632,ENST00000410052,ENST00000439495,ENST00000462747,ENST00000467448,ENST00000482789,ENST00000482891,ENST00000483703,ENST00000489440,ENST00000494017,ENST00000496244	3539.72	3359.44	1224.00	13.63	10.26
ENSG00000003400	ENST00000272879,ENST00000286186,ENST00000313728,ENST00000346817,ENST00000360132,ENST00000374650,ENST00000438843,ENST00000448480,ENST00000460140,ENST00000471191,ENST00000484926,ENST00000485408,ENST00000492363	3692.27	3511.98	46.00	0.49	0.37
ENSG00000003402	ENST00000309955,ENST00000340870,ENST00000341222,ENST00000341582,ENST00000342795,ENST00000395148,ENST00000417748,ENST00000423241,ENST00000425030,ENST00000433445,ENST00000439154,ENST00000440180,ENST00000441224,ENST00000443227,ENST00000457277,ENST00000460961,ENST00000461422,ENST00000461820,ENST00000462763,ENST00000470178,ENST00000470664,ENST00000474842,ENST00000479953,ENST00000490965,ENST00000494258	1920.17	1739.88	1087.80	23.38	17.61
ENSG00000003436	ENST00000233156,ENST00000339091,ENST00000392365,ENST00000409676,ENST00000417013,ENST00000420747,ENST00000421427,ENST00000426055,ENST00000435414,ENST00000437725,ENST00000453013,ENST00000481132,ENST00000481389	1789.45	1609.17	295.00	6.86	5.16
ENSG00000003509	ENST00000002125,ENST00000336237,ENST00000416653,ENST00000419278,ENST00000431821,ENST00000432075,ENST00000439218,ENST00000441905,ENST00000455230,ENST00000469831,ENST00000474154,ENST00000474257,ENST00000483999	1449.88	1269.59	401.00	11.81	8.90
ENSG00000003756	ENST00000347869,ENST00000395174,ENST00000404526,ENST00000417905,ENST00000433556,ENST00000437500,ENST00000438369,ENST00000441305,ENST00000441812,ENST00000461242,ENST00000462025,ENST00000464087,ENST00000464988,ENST00000469838,ENST00000471995,ENST00000474470,ENST00000474818,ENST00000475128,ENST00000475590,ENST00000479275,ENST00000489437,ENST00000492430,ENST00000492472,ENST00000493993,ENST00000494360,ENST00000496179	2043.61	1863.35	2545.48	51.09	38.48
ENSG00000003987	ENST00000180173,ENST00000517317,ENST00000518272,ENST00000519122,ENST00000519590,ENST00000519763,ENST00000521177,ENST00000521857,ENST00000523571	1538.83	1358.56	6.59	0.18	0.14
ENSG00000003989	ENST00000004531,ENST00000398090,ENST00000470360,ENST00000494857,ENST00000522656	6250.13	6069.84	1904.00	11.73	8.84
ENSG00000004059	ENST00000000233,ENST00000415666,ENST00000459680,ENST00000463733,ENST00000467281,ENST00000489673	970.14	789.86	3309.79	156.73	118.02
ENSG00000004139	ENST00000379061,ENST00000577870,ENST00000578128,ENST00000579593,ENST00000580711,ENST00000582323,ENST00000585453,ENST00000585482	2628.77	2448.48	97.61	1.49	1.12
ENSG00000004142	ENST00000540200,ENST00000618887	2103.03	1922.74	7773.00	151.20	113.86
ENSG00000004399	ENST00000324093,ENST00000501038,ENST00000503166,ENST00000504524,ENST00000504689,ENST00000504767,ENST00000504979,ENST00000505237,ENST00000505505,ENST00000505665,ENST00000506979,ENST00000508630,ENST00000511018,ENST00000512744,ENST00000512807,ENST00000514990,ENST00000515191	2710.62	2530.34	4204.00	62.14	46.80
ENSG00000004455	ENST00000354858,ENST00000373449,ENST00000466029,ENST00000467905,ENST00000469238,ENST00000480134,ENST00000482191,ENST00000487289,ENST00000491241,ENST00000548033,ENST00000548559,ENST00000550338,ENST00000551979	1113.59	933.34	5582.02	223.69	168.45
ENSG00000004468	ENST00000226279,ENST00000502843,ENST00000506191,ENST00000510674,ENST00000511430	1989.80	1809.53	0.00	0.00	0.00
ENSG00000004478	ENST00000001008,ENST00000538622,ENST00000539181,ENST00000540260,ENST00000543037,ENST00000543769,ENST00000544366	3685.59	3505.30	23470.95	250.44	188.59
ENSG00000004487	ENST00000356634,ENST00000400181,ENST00000465864,ENST00000481879,ENST00000494920,ENST00000602503	2042.09	1861.80	5647.00	113.44	85.43
ENSG00000004534	ENST00000266022,ENST00000419610,ENST00000421682,ENST00000422955,ENST00000425608,ENST00000433811,ENST00000434592,ENST00000438912,ENST00000441115,ENST00000442092,ENST00000443081,ENST00000446471,ENST00000454079,ENST00000464013,ENST00000466247,ENST00000478026,ENST00000483350,ENST00000488807,ENST00000491874,ENST00000493652	2330.55	2150.26	2653.00	46.15	34.75
ENSG00000004660	ENST00000158166,ENST00000348335,ENST00000381769,ENST00000573483	3524.98	3344.68	1471.00	16.45	12.39
ENSG00000004700	ENST00000314748,ENST00000396093,ENST00000421138,ENST00000444129,ENST00000536240,ENST00000536964,ENST00000539672,ENST00000542432	1635.88	1455.60	1678.32	43.12	32.48
ENSG00000004766	ENST00000251739,ENST00000305866,ENST00000436177,ENST00000438395,ENST00000441602,ENST00000443443,ENST00000458530,ENST00000458707,ENST00000467326,ENST00000471188,ENST00000474412,ENST00000476413,ENST00000477572,ENST00000477935,ENST00000480943,ENST00000484954,ENST00000485140,ENST00000485994,ENST00000495039,ENST00000544910	1208.27	1028.00	194.00	7.06	5.32
ENSG00000004776	ENST00000004982,ENST00000587965,ENST00000592984	1508.45	1328.16	17.83	0.50	0.38
ENSG00000004777	ENST00000007510,ENST00000221905,ENST00000314737,ENST00000378944,ENST00000586918,ENST00000587447,ENST00000587984,ENST00000588248,ENST00000589133,ENST00000590893,ENST00000591438,ENST00000593034,ENST00000601474	3427.69	3247.40	282.00	3.25	2.45
ENSG00000004779	ENST00000007516,ENST00000484769,ENST00000562133,ENST00000567761,ENST00000570319	717.31	537.03	1791.00	124.74	93.93
ENSG00000004799	ENST00000005178,ENST00000468445,ENST00000473301,ENST00000473796,ENST00000498190	3524.75	3344.46	17.00	0.19	0.14
ENSG00000004809	ENST00000330550,ENST00000368919,ENST00000424139,ENST00000434949,ENST00000437378,ENST00000451557,ENST00000460159,ENST00000461487	1391.75	1211.47	0.00	0.00	0.00
ENSG00000004838	ENST00000231749,ENST00000360165,ENST00000431869,ENST00000442887,ENST00000443080,ENST00000468182,ENST00000475688,ENST00000478269,ENST00000490675	1068.96	888.67	56.00	2.36	1.77
ENSG00000004846	ENST00000258738,ENST00000404938,ENST00000406935,ENST00000441315,ENST00000443026,ENST00000477094	5811.00	5630.71	15.00	0.10	0.08
ENSG00000004848	ENST00000379044	2876.00	2695.71	0.00	0.00	0.00
ENSG00000004864	ENST00000265631,ENST00000416240,ENST00000472162,ENST00000484495,ENST00000487710,ENST00000490072,ENST00000492869,ENST00000494085	2920.46	2740.17	1609.00	21.96	16.54
ENSG00000004866	ENST00000265437,ENST00000323984,ENST00000393443,ENST00000393444,ENST00000393446,ENST00000393447,ENST00000393449,ENST00000393451,ENST00000417919,ENST00000420755,ENST00000421345,ENST00000422922,ENST00000432298,ENST00000434836,ENST00000438863,ENST00000443979,ENST00000446490,ENST00000449366,ENST00000462544,ENST00000464020,ENST00000465133,ENST00000465641,ENST00000467538,ENST00000477742,ENST00000485394,ENST00000487459,ENST00000489293,ENST00000490039,ENST00000543837,ENST00000619382	2025.22	1844.93	514.26	10.43	7.85
ENSG00000004897	ENST00000066544,ENST00000525495,ENST00000526866,ENST00000527547,ENST00000528147,ENST00000528748,ENST00000531206,ENST00000532575,ENST00000532893,ENST00000533415,ENST00000570740,ENST00000570818,ENST00000571643,ENST00000573502,ENST00000573550,ENST00000574304,ENST00000575483,ENST00000575830,ENST00000576484	1649.48	1469.23	2413.00	61.43	46.26
ENSG00000004939	ENST00000262418,ENST00000399246,ENST00000471005,ENST00000497360,ENST00000498270	4367.75	4187.46	4.00	0.04	0.03
ENSG00000004948	ENST00000359558,ENST00000360249,ENST00000394441,ENST00000415529,ENST00000421592,ENST00000423724,ENST00000426151	1502.00	1321.71	2.00	0.06	0.04
ENSG00000004961	ENST00000321143,ENST00000380762,ENST00000380763	1232.41	1052.12	459.00	16.32	12.29
ENSG00000004975	ENST00000005340,ENST00000571745,ENST00000572285,ENST00000573354,ENST00000574143,ENST00000574591,ENST00000574642,ENST00000575086,ENST00000575458,ENST00000575756,ENST00000576285,ENST00000576439,ENST00000576840,ENST00000576949,ENST00000577154	2435.73	2255.44	2066.00	34.26	25.80
ENSG00000005001	ENST00000161006,ENST00000570950,ENST00000571228,ENST00000572061,ENST00000574768,ENST00000575164,ENST00000576381,ENST00000577177	835.25	655.00	0.00	0.00	0.00
ENSG00000005007	ENST00000262803,ENST00000594243,ENST00000594504,ENST00000596842,ENST00000598209,ENST00000598471,ENST00000599848,ENST00000600012,ENST00000600310,ENST00000600689,ENST00000600868,ENST00000601689,ENST00000601981	5119.28	4938.99	5857.00	44.35	33.40
ENSG00000005020	ENST00000345317,ENST00000432747,ENST00000468712,ENST00000481204,ENST00000487720,ENST00000489977,ENST00000490456,ENST00000495802,ENST00000497511	3998.00	3817.71	1.00	0.01	0.01
ENSG00000005022	ENST00000317881,ENST00000460013,ENST00000463551,ENST00000475354	1269.44	1089.15	23326.44	801.04	603.23
ENSG00000005059	ENST00000394650,ENST00000452915,ENST00000472310,ENST00000494604,ENST00000515114	1973.44	1793.16	387.00	8.07	6.08
ENSG00000005073	ENST00000006015,ENST00000517402	2276.05	2095.76	820.75	14.65	11.03
ENSG00000005075	ENST00000292614,ENST00000393794	923.12	742.83	2788.17	140.39	105.72
ENSG00000005100	ENST00000225296,ENST00000433302,ENST00000572490,ENST00000574023,ENST00000575153	4487.66	4307.37	2638.00	22.91	17.25
ENSG00000005102	ENST00000318579,ENST00000329168,ENST00000393661,ENST00000549132	1869.12	1688.83	28.00	0.62	0.47
ENSG00000005108	ENST00000408005,ENST00000423059,ENST00000480061,ENST00000497575,ENST00000617773	10583.00	10402.71	3.00	0.01	0.01
ENSG00000005156	ENST00000262327,ENST00000378526,ENST00000585370,ENST00000585740,ENST00000585941,ENST00000586058,ENST00000586119,ENST00000586407,ENST00000586435,ENST00000588109,ENST00000588713,ENST00000590181,ENST00000590630,ENST00000592244,ENST00000592690,ENST00000593099	3283.86	3103.58	3493.53	42.10	31.70
ENSG00000005175	ENST00000005386,ENST00000380650,ENST00000432584,ENST00000547706,ENST00000548211,ENST00000548296,ENST00000551293	1915.48	1735.24	649.00	13.99	10.53
ENSG00000005187	ENST00000289416,ENST00000440284,ENST00000501740,ENST00000561499,ENST00000561584,ENST00000561795,ENST00000562251,ENST00000563914,ENST00000564701,ENST00000567006,ENST00000567387,ENST00000567711,ENST00000568235,ENST00000569141,ENST00000614721	1215.01	1034.72	11.00	0.40	0.30
ENSG00000005189	ENST00000261377,ENST00000348433,ENST00000561474,ENST00000563045,ENST00000563068,ENST00000563617,ENST00000564200,ENST00000564274,ENST00000565340,ENST00000566276,ENST00000566518,ENST00000566993,ENST00000567297,ENST00000568046,ENST00000568334,ENST00000568476,ENST00000568501,ENST00000568647,ENST00000568894	2147.60	1967.31	271.87	5.17	3.89
ENSG00000005194	ENST00000394391,ENST00000563341,ENST00000563561,ENST00000564885,ENST00000565368,ENST00000565786,ENST00000565961,ENST00000566284,ENST00000567518,ENST00000567751,ENST00000568940,ENST00000569246,ENST00000569370,ENST00000569979,ENST00000570000	1768.87	1588.58	2933.00	69.06	52.00
ENSG00000005206	ENST00000585725,ENST00000586111,ENST00000586332,ENST00000587851,ENST00000589515,ENST00000593243,ENST00000610743,ENST00000612623,ENST00000613503,ENST00000614784,ENST00000614794,ENST00000618220,ENST00000621568,ENST00000622308	2132.09	1951.81	475.00	9.10	6.85
ENSG00000005238	ENST00000322813,ENST00000378557,ENST00000378561,ENST00000378566,ENST00000488109,ENST00000603301,ENST00000605104,ENST00000605244,ENST00000605392	2863.42	2683.13	1573.00	21.93	16.51
ENSG00000005243	ENST00000579263,ENST00000580174,ENST00000580409,ENST00000581637,ENST00000581756,ENST00000583414,ENST00000584955,ENST00000585182,ENST00000612370,ENST00000621465	705.70	525.43	432.00	30.75	23.16
ENSG00000005249	ENST00000265717,ENST00000393613,ENST00000488792	3745.00	3564.71	670.00	7.03	5.29
ENSG00000005302	ENST00000312196,ENST00000337339,ENST00000361672,ENST00000380691,ENST00000380692,ENST00000380693,ENST00000398527,ENST00000421368,ENST00000467141,ENST00000468149,ENST00000473380,ENST00000473806,ENST00000476743,ENST00000478462,ENST00000482871,ENST00000483645,ENST00000494268	2239.40	2059.11	706.00	12.82	9.66
ENSG00000005339	ENST00000262367,ENST00000382070,ENST00000570939,ENST00000571763,ENST00000571826,ENST00000572134,ENST00000572569,ENST00000573517,ENST00000573672,ENST00000574740,ENST00000575237,ENST00000576720	7356.01	7175.73	11983.00	62.46	47.03
ENSG00000005379	ENST00000268893,ENST00000343736,ENST00000577871,ENST00000578486,ENST00000578511,ENST00000580669,ENST00000581675,ENST00000581692,ENST00000582679,ENST00000583624,ENST00000585149	2615.87	2435.66	17.00	0.26	0.20
ENSG00000005381	ENST00000225275,ENST00000577220,ENST00000578493,ENST00000580005,ENST00000581022	439.14	263.38	3.00	0.43	0.32
ENSG00000005421	ENST00000222381,ENST00000433729,ENST00000462594,ENST00000470502	1189.25	1008.98	0.00	0.00	0.00
ENSG00000005436	ENST00000321027,ENST00000409857,ENST00000427862,ENST00000442309,ENST00000470197,ENST00000470285,ENST00000470503,ENST00000472230,ENST00000486016,ENST00000492826,ENST00000541687	1517.76	1337.47	371.00	10.37	7.81
ENSG00000005448	ENST00000348227,ENST00000409791,ENST00000426787,ENST00000461531,ENST00000465134,ENST00000468778,ENST00000469321,ENST00000469932,ENST00000475328,ENST00000480089,ENST00000482605,ENST00000482880,ENST00000493982	1099.73	919.44	2788.00	113.41	85.41
ENSG00000005469	ENST00000331536,ENST00000412227,ENST00000419147,ENST00000442291,ENST00000469785,ENST00000479014,ENST00000488850	2717.02	2536.73	212.00	3.13	2.35
ENSG00000005471	ENST00000265723,ENST00000358400,ENST00000359206,ENST00000417608,ENST00000440025,ENST00000453593,ENST00000467079,ENST00000467983,ENST00000469770,ENST00000473795	2074.94	1894.72	82.32	1.62	1.22
ENSG00000005483	ENST00000257745,ENST00000311117,ENST00000334877,ENST00000334884,ENST00000334914,ENST00000468607,ENST00000473063,ENST00000474203,ENST00000476671,ENST00000478079,ENST00000478990,ENST00000479838,ENST00000480368,ENST00000482560,ENST00000485619,ENST00000495267,ENST00000496191,ENST00000622386	4318.97	4138.71	1351.62	12.21	9.20
ENSG00000005486	ENST00000006777,ENST00000318622,ENST00000428119,ENST00000454791,ENST00000466232,ENST00000467406,ENST00000468304,ENST00000468644,ENST00000476218,ENST00000613112,ENST00000614848	1544.04	1363.75	3264.00	89.52	67.41
ENSG00000005513	ENST00000293894,ENST00000566034	3282.35	3102.06	83.00	1.00	0.75
ENSG00000005700	ENST00000306270,ENST00000369751,ENST00000445419,ENST00000471036,ENST00000503400,ENST00000503631,ENST00000505222,ENST00000508381,ENST00000510291,ENST00000610980	5444.56	5264.27	667.00	4.74	3.57
ENSG00000005801	ENST00000005082,ENST00000330692,ENST00000343338,ENST00000354599,ENST00000399602,ENST00000427810,ENST00000429541,ENST00000438262,ENST00000524857,ENST00000525313,ENST00000525502,ENST00000526501,ENST00000526540,ENST00000526598,ENST00000526601,ENST00000527386,ENST00000528218,ENST00000528410,ENST00000528636,ENST00000528796,ENST00000529085,ENST00000529228,ENST00000529678,ENST00000529789,ENST00000530643,ENST00000532539,ENST00000533036,ENST00000534569,ENST00000618467,ENST00000620374	828.04	647.79	347.00	20.03	15.09
ENSG00000005810	ENST00000357337,ENST00000429715,ENST00000462987,ENST00000466564,ENST00000474882,ENST00000482517,ENST00000485061,ENST00000486679,ENST00000491491,ENST00000498073,ENST00000544440,ENST00000612956	3262.04	3081.77	2012.00	24.42	18.39
ENSG00000005812	ENST00000355619,ENST00000417323,ENST00000470210,ENST00000472949,ENST00000477982,ENST00000485797	2049.98	1869.69	479.09	9.58	7.22
ENSG00000005844	ENST00000356798,ENST00000358164,ENST00000433423,ENST00000562020,ENST00000562652,ENST00000562857,ENST00000563615,ENST00000564118,ENST00000564632,ENST00000564935,ENST00000565348,ENST00000565864,ENST00000566149,ENST00000566267,ENST00000568012,ENST00000568926,ENST00000568987,ENST00000569570,ENST00000569725	1985.35	1805.06	7.00	0.15	0.11
ENSG00000005882	ENST00000007708,ENST00000503076,ENST00000503176,ENST00000503614,ENST00000505440,ENST00000505897,ENST00000506242,ENST00000506647,ENST00000508030,ENST00000508960,ENST00000510219,ENST00000511026,ENST00000512204,ENST00000512238,ENST00000515040,ENST00000614357	2139.74	1959.46	2332.54	44.52	33.53
ENSG00000005884	ENST00000007722,ENST00000320031,ENST00000504417,ENST00000505306,ENST00000505552,ENST00000505612,ENST00000506401,ENST00000506437,ENST00000506827,ENST00000507771,ENST00000508100,ENST00000510809,ENST00000512553,ENST00000514834,ENST00000515147,ENST00000570989	3611.15	3430.87	45348.00	494.37	372.28
ENSG00000005889	ENST00000304543,ENST00000338565,ENST00000379177,ENST00000379188,ENST00000419690,ENST00000428571,ENST00000459724,ENST00000474385,ENST00000480195,ENST00000497813,ENST00000539115	3407.79	3227.52	460.00	5.33	4.01
ENSG00000005893	ENST00000200639,ENST00000371335,ENST00000434600,ENST00000486593	2694.57	2514.28	2268.00	33.74	25.41
ENSG00000005961	ENST00000262407,ENST00000587295,ENST00000588098,ENST00000589645,ENST00000591990,ENST00000592075,ENST00000592226,ENST00000592253,ENST00000592462,ENST00000592944	1427.17	1248.77	19.00	0.57	0.43
ENSG00000005981	ENST00000257621,ENST00000325885,ENST00000428113	1984.67	1804.39	0.00	0.00	0.00
ENSG00000006007	ENST00000353258,ENST00000563645,ENST00000564172,ENST00000569773,ENST00000569899	2574.55	2394.26	4518.20	70.58	53.15
ENSG00000006015	ENST00000358607,ENST00000450195,ENST00000595077,ENST00000595490,ENST00000597371,ENST00000598375,ENST00000600997,ENST00000601736	796.77	616.51	742.00	45.02	33.90
ENSG00000006016	ENST00000392386,ENST00000593286,ENST00000594325,ENST00000596360,ENST00000597131	969.45	789.24	462.80	21.93	16.52
ENSG00000006025	ENST00000007414,ENST00000392507,ENST00000578461,ENST00000579728,ENST00000580140,ENST00000580226,ENST00000580808,ENST00000583167,ENST00000584698,ENST00000585051,ENST00000613735	3303.37	3123.08	273.00	3.27	2.46
ENSG00000006042	ENST00000261713,ENST00000394642,ENST00000395149,ENST00000439138,ENST00000578289,ENST00000579849,ENST00000582227,ENST00000583120,ENST00000583437	1268.92	1088.63	3378.00	116.06	87.40
ENSG00000006047	ENST00000007699,ENST00000570627,ENST00000570720,ENST00000571127,ENST00000571464,ENST00000571485,ENST00000571834	1229.68	1049.40	68.00	2.42	1.83
ENSG00000006059	ENST00000007735	1287.00	1106.71	0.00	0.00	0.00
ENSG00000006062	ENST00000344686,ENST00000376926,ENST00000586644,ENST00000592267,ENST00000617331	4087.89	3907.60	1829.78	17.51	13.19
ENSG00000006071	ENST00000302539,ENST00000389817,ENST00000524561,ENST00000525022,ENST00000526002,ENST00000526037,ENST00000526168,ENST00000526921,ENST00000527905,ENST00000528202,ENST00000528374,ENST00000529967,ENST00000530147,ENST00000531137,ENST00000531642,ENST00000531891,ENST00000531911,ENST00000532220,ENST00000532728,ENST00000612903	1493.50	1313.22	17.00	0.48	0.36
ENSG00000006116	ENST00000005284	3088.00	2907.71	0.00	0.00	0.00
ENSG00000006118	ENST00000005286,ENST00000453848,ENST00000534983,ENST00000535480,ENST00000536409,ENST00000536928,ENST00000537065,ENST00000537110,ENST00000538090,ENST00000540112,ENST00000540276,ENST00000543732,ENST00000544065,ENST00000544098	2197.50	2017.23	3978.00	73.76	55.54
ENSG00000006125	ENST00000587805,ENST00000588093,ENST00000588116,ENST00000589774,ENST00000590432,ENST00000590538,ENST00000591561,ENST00000591610,ENST00000592167,ENST00000593014,ENST00000610402,ENST00000612035,ENST00000612116,ENST00000614600,ENST00000616681,ENST00000616784,ENST00000618940,ENST00000619183,ENST00000620039,ENST00000621668,ENST00000621914	4847.02	4666.73	15938.96	127.74	96.20
ENSG00000006128	ENST00000319273,ENST00000346867,ENST00000350485,ENST00000491437,ENST00000495916	870.80	690.52	0.00	0.00	0.00
